Match Name/Date,Result,WNR.1,UFE.1,WNR.2,UFE.2,FSW.1,FSW.2
French Open 2006,0,22,26,16,12,60,67
Indian Wells Masters 2007,0,17,25,16,16,77,71
Miami Open 2007,1,19,16,20,24,64,70
Italian Open 2007,0,18,26,30,11,58,81
French Open 2007,0,26,41,33,17,57,72
Wimbledon 2007,0,6,12,10,1,60,92
Canadian Open 2007,1,26,27,14,18,80,62
Tennis Masters Cup 2007,0,24,31,17,12,61,80
Indian Wells Masters 2008,1,20,17,8,23,81,56
Hamburg Masters 2008,0,29,43,31,22,58,57
French Open 2008,0,34,37,24,18,57,66
Queen's Club 2008,0,28,32,28,23,61,68
Cincinnati Masters 2008,1,18,16,10,11,72,73
Summer Olympics 2008,0,28,37,16,26,72,62
Davis Cup 2009,0,18,44,28,27,60,70
Monte-Carlo Masters 2009,0,27,52,25,27,56,62
Italian Open 2009,0,22,37,19,19,59,68
Madrid Open 2009,0,36,44,31,51,80,70
Cincinnati Masters 2009,1,19,27,10,23,73,60
Paris Masters 2009,1,29,14,12,8,82,56
ATP World Tour Finals 2009,1,10,34,21,36,60,76
US Open 2010,0,40,53,41,34,65,73
ATP World Tour Finals 2010,0,14,30,16,18,64,73
Indian Wells Masters 2011,1,24,28,17,28,74,71
Miami Open 2011,1,39,40,24,31,67,70
Madrid Open 2011,1,26,26,17,22,70,57
Italian Open 2011,1,24,29,13,15,67,67
Wimbledon 2011,1,26,16,20,26,73,67
US Open 2011,1,31,46,46,58,52,66
Australian Open 2012,1,57,64,53,63,67,64
Monte-Carlo Masters 2012,0,11,22,15,11,40,84
Italian Open 2012,0,21,39,14,18,64,59
French Open 2012,0,40,60,33,36,59,61
Monte-Carlo Masters 2013,1,25,15,17,24,59,61
French Open 2013,0,59,78,58,47,64,70
Canadian Open 2013,0,25,40,21,30,65,71
US Open 2013,0,43,66,28,30,57,65
China Open 2013,1,19,15,9,24,91,80
ATP World Tour Finals 2013,1,22,25,8,30,68,58
Miami Open 2014,1,20,11,14,18,83,60
Italian Open 2014,1,44,27,15,20,63,74
French Open 2014,0,43,43,43,37,72,73
Monte-Carlo Masters 2015,1,23,20,20,25,72,58
French Open 2015,1,46,33,16,28,71,64
China Open 2015,1,7,21,23,17,56,70
ATP World Tour Finals 2015,1,27,17,10,15,61,72
Qatar Open 2016,1,29,13,9,11,79,48
Indian Wells Masters 2016,1,12,31,24,27,55,71
Italian Open 2016,0,27,27,23,29,64,59
Madrid Open 2017,0,19,23,20,15,56,78
Italian Open 2018,1,23,17,27,24,65,60
Wimbledon 2018,0,72,61,73,52,67,75
Australian Open 2019,1,34,9,20,28,73,64
Italian Open 2019,0,33,38,31,19,60,73
ATP Cup 2020,1,17,18,37,21,77,84
French Open 2020,1,36,49,30,15,50,67
Italian Open 2021,0,29,35,38,26,65,65
French Open 2021,1,43,64,50,47,59,65
French Open 2022,0,55,63,65,49,71,71